training_size,alpha,train_mse,test_mse,stability
100,1.0,0.004390287256532358,0.03539790850443555,0.013371286579393595
300,1.0,0.009568566395859198,0.029274602882027236,0.002836118438130475
600,1.0,0.01264080614791729,0.02134328155727672,0.0012714065492971226
1000,1.0,0.015659445023278633,0.01975945780946228,0.0007172094244174025
1595,1.0,0.016210174940172326,0.019467614276492733,0.00043837151340169264
