alpha,model,train_mse,test_mse,stability
0.0,OLS,0.016196432405979483,0.019562058066414405,0.0004572779711242764
0.001,Ridge,0.016196432439223196,0.01956190716470552,0.0004572475121520932
0.01,Ridge,0.016196435692655546,0.01956055800474673,0.000456975658465867
0.1,Ridge,0.016196727196667954,0.01954788626037038,0.00045445373900805804
1.0,Ridge,0.016210174940172326,0.019467614276492733,0.00043837151340169264
10.0,Ridge,0.016347382404479516,0.019319278348633534,0.00038954590469003056
50.0,Ridge,0.01667493206091164,0.019351474797106336,0.00032599638507120306
100.0,Ridge,0.01691716562300557,0.019443798102904752,0.00029243201250507436
