alpha,model,train_mse,test_mse
0.0,OLS,0.016196432405979483,0.019562058066414208
0.001,Ridge,0.016196432439223193,0.019561907164705326
0.01,Ridge,0.016196435692655546,0.01956055800474686
0.1,Ridge,0.016196727196667957,0.01954788626037038
1.0,Ridge,0.016210174940172323,0.019467614276493007
10.0,Ridge,0.01634738240447952,0.019319278348633583
100.0,Ridge,0.01691716562300556,0.019443798102904742
1000.0,Ridge,0.018239664735374188,0.020035083211167478
