alpha,train_mse,test_mse,stability
0.0,21.939692867474168,22.266311080836953,0.02252333502466627
0.001,21.93969286944016,22.266263755490048,0.02252311450148549
0.01,21.93969306396659,22.26583809829526,0.02252113018957425
0.1,21.939712410838617,22.261608210345827,0.02250133237785293
1.0,21.941546834620148,22.221847024556542,0.022309271089756923
10.0,22.060673921371844,21.992902367689585,0.02080381615837353
100.0,24.401938410496516,22.95181241765632,0.015442430824593296
1000.0,40.94201035598802,36.91832166548195,0.011992853379444914
