training_size,alpha,train_mse,test_mse,stability
100,1.0,0.004390287256532378,0.03539790850443502,0.013371286579393418
300,1.0,0.009568566395859191,0.02927460288202775,0.0028361184381304337
600,1.0,0.012640806147917256,0.0213432815572768,0.001271406549297096
1000,1.0,0.015659445023278592,0.019759457809462477,0.0007172094244172921
1595,1.0,0.016210174940172323,0.019467614276493007,0.00043837151340169747
