alpha,model,train_mse,test_mse,stability
0.0,OLS,0.016196432405979483,0.019562058066414208,0.0004572779711241909
0.001,Ridge,0.016196432439223193,0.019561907164705326,0.00045724751215215167
0.01,Ridge,0.016196435692655546,0.01956055800474686,0.000456975658465929
0.1,Ridge,0.016196727196667957,0.01954788626037038,0.00045445373900808114
1.0,Ridge,0.016210174940172323,0.019467614276493007,0.00043837151340169747
10.0,Ridge,0.01634738240447952,0.019319278348633583,0.00038954590469003343
100.0,Ridge,0.01691716562300556,0.019443798102904742,0.00029243201250507024
1000.0,Ridge,0.018239664735374188,0.020035083211167478,0.0001730831015284564
