training_size,alpha,train_mse,test_mse,stability
50,1.0,7.289325196662526,31.336115732836802,0.19411395930926878
100,1.0,17.53615252019731,25.708125250206017,0.09617120762524765
200,1.0,19.711690860588543,22.645793914242205,0.04722457515963616
404,1.0,21.941546834620148,22.221847024556542,0.022309271089756923
