alpha,stability
0.0,0.0004572779711241909
0.001,0.00045724751215215167
0.01,0.000456975658465929
0.1,0.00045445373900808114
1.0,0.00043837151340169747
10.0,0.00038954590469003343
100.0,0.00029243201250507024
1000.0,0.0001730831015284564
